Puzzle Date,Constructor,Day of Week,Cheat Pct,Adjusted Mean,Adjusted Median,Adjusted P75,Adjusted P90,Actual Mean,Actual Median,Actual P75,Actual P90
2021-10-20,David W. Tuffs,Wednesday,0.17808,0.39801,0.13764,0.54954,1.22461,0.19161,0.12969,0.3362,0.56337
2021-12-28,Kathy Wienberg,Tuesday,0.12987,0.51944,0.13495,0.35536,2.19238,0.1759,0.09726,0.23731,0.50939
2021-08-28,Julian Lim,Saturday,0.09375,0.14387,0.1334,0.3739,0.57816,0.18358,0.15471,0.38125,0.5813
2021-04-03,Peter A. Collins,Saturday,0.18519,0.14021,0.13171,0.31178,0.61783,0.10647,0.05533,0.28631,0.49715
2021-04-29,Adam Wagner,Thursday,0.22059,0.32813,0.13135,0.44039,1.3239,0.28955,0.16525,0.45916,0.71915
2021-04-10,Evans Clinchy,Saturday,0.19608,0.2218,0.13122,0.50544,0.87009,0.15208,0.04202,0.31453,0.63588
2021-12-24,Evan Kalish,Friday,0.07353,0.20164,0.12373,0.36653,0.51523,0.23724,0.15895,0.43983,0.75399
2021-10-10,Brandon Koppy,Sunday,0.19697,0.16657,0.12212,0.32756,0.54431,0.14805,0.12212,0.30229,0.52013
2021-12-12,Daniel Okulitch and Doug Peterson,Sunday,0.20313,0.19874,0.12056,0.40118,0.65968,0.09734,0.10265,0.2182,0.46684
2021-03-16,Lindsey Hobbs,Tuesday,0.16438,0.21287,0.12033,0.39883,0.85141,0.18265,0.13674,0.35543,0.5151
2021-10-07,Timothy Polin,Thursday,0.10145,0.16347,0.11537,0.3744,0.73525,0.16299,0.12487,0.30384,0.60477
2021-03-17,Peter A. Collins,Wednesday,0.13433,0.28504,0.11205,0.39855,0.70278,0.16772,0.18994,0.37181,0.55027
2021-05-25,Kristian House and Mike Dockins,Tuesday,0.14286,0.24923,0.1084,0.35838,0.86614,0.23087,0.17647,0.35674,0.64991
2021-12-25,Johan Vass,Saturday,0.15254,0.27602,0.10642,0.3778,1.1509,0.19627,0.07858,0.3238,0.68254
2021-03-10,Nancy Stark and Will Nediger,Wednesday,0.11765,0.13495,0.10437,0.29271,0.56395,0.18692,0.12794,0.30329,0.56395
2021-07-12,Kevin Christian,Monday,0.08537,0.14551,0.10006,0.28985,0.55734,0.22167,0.18343,0.31667,0.50458
2021-10-25,Damon Gulczynski,Monday,0.10843,0.29071,0.09565,0.305,1.09935,0.12209,0.07121,0.21631,0.46678
2021-09-19,Peter Gordon,Sunday,0.15625,0.08263,0.08887,0.22026,0.37456,0.07839,0.1031,0.19511,0.31437
2021-12-20,Anne Rowley,Monday,0.0375,0.15776,0.08734,0.26047,0.59809,0.21248,0.13226,0.36742,0.65638
2021-03-08,Eric Bornstein,Monday,0.13333,0.24603,0.08611,0.38609,1.10872,0.19512,0.11753,0.35272,0.58037
2021-07-13,Bruce Haight,Tuesday,0.10127,0.19573,0.08266,0.33333,0.59492,0.18683,0.14118,0.37725,0.54904
2021-01-20,"Natan Last, Andy Kravis and the J.A.S.A. Crossword Class",Wednesday,0.19697,0.41349,0.08247,0.35606,0.80915,0.23326,0.08414,0.34525,0.5747
2021-03-14,Jacob Stulberg,Sunday,0.22807,0.14624,0.08238,0.23037,0.92976,0.11595,0.09011,0.23611,0.48983
2021-04-11,Dick Shlakman and Will Nediger,Sunday,0.26667,0.1224,0.08204,0.26396,0.69653,0.06578,0.0407,0.20601,0.31744
2021-03-29,Lynn Lempel,Monday,0.18182,0.35074,0.0814,0.39706,1.02912,0.09877,0.07271,0.265,0.47833
2021-09-21,Daniel Okulitch,Tuesday,0.11538,0.225,0.08086,0.32955,0.87789,0.1711,0.1033,0.27773,0.70572
2021-09-03,Brendan Emmett Quigley and Paolo Pasco,Friday,0.11765,0.16017,0.07987,0.43881,0.81077,0.17335,0.07987,0.32719,0.90692
2021-09-25,Adam Simon Levine,Saturday,0.2,0.14245,0.07806,0.35618,1.03571,0.05526,0.04816,0.17828,0.41996
2021-03-31,Trenton Charlson,Wednesday,0.15714,0.20346,0.07735,0.28828,0.55246,0.12436,0.07735,0.26381,0.43181
2021-04-26,Eric and Lori Bornstein,Monday,0.15,0.23819,0.07089,0.26473,0.85837,0.16994,0.11425,0.28017,0.59574
2021-08-22,Stephen McCarthy,Sunday,0.19697,0.18581,0.07024,0.38415,0.52222,0.0876,0.07024,0.30787,0.47472
2021-02-12,Grant Thackray,Friday,0.12069,0.18473,0.06865,0.22826,0.81246,0.15701,0.09101,0.22826,0.59161
2021-09-04,Byron Walden,Saturday,0.12903,0.17677,0.06407,0.30901,0.61448,0.12684,0.06706,0.25949,0.49298
2021-03-24,Amanda Rafkin and Ross Trudeau,Wednesday,0.12676,0.12273,0.0635,0.33354,0.59847,0.15679,0.14812,0.3302,0.53437
2021-08-19,Oliver Roeder,Thursday,0.08451,0.1878,0.05853,0.48468,0.90042,0.23644,0.10707,0.49026,0.7881
2021-12-21,Guilherme Gilioli,Tuesday,0.06494,0.1193,0.05341,0.25799,0.70039,0.16793,0.09732,0.2724,0.65972
2021-10-23,Sam Ezersky,Saturday,0.12698,0.17654,0.04954,0.34541,0.66659,0.17558,0.07317,0.35964,0.6233
2021-08-23,Bruce Haight,Monday,0.02381,0.10806,0.04392,0.28545,0.57006,0.19082,0.1008,0.36129,0.64193
2021-06-24,Danny Lawson,Thursday,0.14925,0.13579,0.04231,0.27286,0.94676,0.12245,0.11912,0.28365,0.4725
2021-01-12,Ross Trudeau,Tuesday,0.14085,0.14048,0.04164,0.19325,0.43319,0.0505,0.04443,0.18961,0.32782
2021-06-26,John Lieb and Brad Wilber,Saturday,0.12903,0.24481,0.03824,0.48681,0.89608,0.23634,0.06081,0.45886,0.7823
2021-08-15,Aimee Lucido and Ella Dershowitz,Sunday,0.19403,0.2052,0.03095,0.23099,0.89445,0.0913,0.00138,0.1855,0.3875
2021-11-26,Kate Hawkins,Friday,0.10294,0.2715,0.02796,0.28813,1.09183,0.19108,0.09381,0.30451,0.76834
